p_k,country_id,ext_int,imp_exp,month,trade_value
2626,PT,EXTRA,IMPORT,d2022_04,2604591068
2627,PT,EXTRA,EXPORT,d2022_04,1724267656
2628,PT,INTRA,IMPORT,d2022_04,6136778939
2629,PT,INTRA,EXPORT,d2022_04,4477938570
2630,PT,WORLD,IMPORT,d2022_04,8741370007
2631,PT,WORLD,EXPORT,d2022_04,6202206226
2632,RO,EXTRA,IMPORT,d2022_04,2971964971
2633,RO,EXTRA,EXPORT,d2022_04,1842527597
2634,RO,INTRA,IMPORT,d2022_04,6751662033
2635,RO,INTRA,EXPORT,d2022_04,5045538313
2636,RO,WORLD,IMPORT,d2022_04,9723627004
2637,RO,WORLD,EXPORT,d2022_04,6888065910
2638,SE,EXTRA,IMPORT,d2022_04,5789390967
2639,SE,EXTRA,EXPORT,d2022_04,6928972392
2640,SE,INTRA,IMPORT,d2022_04,9665791131
2641,SE,INTRA,EXPORT,d2022_04,8179973763
2642,SE,WORLD,IMPORT,d2022_04,15455182098
2643,SE,WORLD,EXPORT,d2022_04,15108946155
2644,SI,EXTRA,IMPORT,d2022_04,2638220168
2645,SI,EXTRA,EXPORT,d2022_04,1841582983
2646,SI,INTRA,IMPORT,d2022_04,2803168817
2647,SI,INTRA,EXPORT,d2022_04,3229871086
2648,SI,WORLD,IMPORT,d2022_04,5441388985
2649,SI,WORLD,EXPORT,d2022_04,5071454069
2650,SK,EXTRA,IMPORT,d2022_04,2028718145
2651,SK,EXTRA,EXPORT,d2022_04,1419574496
2652,SK,INTRA,IMPORT,d2022_04,6427211660
2653,SK,INTRA,EXPORT,d2022_04,6394120545
2654,SK,WORLD,IMPORT,d2022_04,8455929805
2655,SK,WORLD,EXPORT,d2022_04,7813695041
2656,AT,EXTRA,IMPORT,d2022_05,4737435398
2657,AT,EXTRA,EXPORT,d2022_05,5346721196
2658,AT,INTRA,IMPORT,d2022_05,14637823368
2659,AT,INTRA,EXPORT,d2022_05,12234668203
2660,AT,WORLD,IMPORT,d2022_05,19375258766
2661,AT,WORLD,EXPORT,d2022_05,17581389399
2662,BE,EXTRA,IMPORT,d2022_05,21018204130
2663,BE,EXTRA,EXPORT,d2022_05,16452384673
2664,BE,INTRA,IMPORT,d2022_05,30021295135
2665,BE,INTRA,EXPORT,d2022_05,35691922931
2666,BE,WORLD,IMPORT,d2022_05,51039499265
2667,BE,WORLD,EXPORT,d2022_05,52144307604
2668,BG,EXTRA,IMPORT,d2022_05,2019080818
2669,BG,EXTRA,EXPORT,d2022_05,1399458736
2670,BG,INTRA,IMPORT,d2022_05,2596891303
2671,BG,INTRA,EXPORT,d2022_05,2886389098
2672,BG,WORLD,IMPORT,d2022_05,4615972121
2673,BG,WORLD,EXPORT,d2022_05,4285847834
2674,CY,EXTRA,IMPORT,d2022_05,501710057
2675,CY,EXTRA,EXPORT,d2022_05,308762310
2676,CY,INTRA,IMPORT,d2022_05,684329222
2677,CY,INTRA,EXPORT,d2022_05,120168519
2678,CY,WORLD,IMPORT,d2022_05,1186039279
2679,CY,WORLD,EXPORT,d2022_05,428930829
2680,CZ,EXTRA,IMPORT,d2022_05,4856913865
2681,CZ,EXTRA,EXPORT,d2022_05,3503985265
2682,CZ,INTRA,IMPORT,d2022_05,14802123808
2683,CZ,INTRA,EXPORT,d2022_05,16015596327
2684,CZ,WORLD,IMPORT,d2022_05,19659037673
2685,CZ,WORLD,EXPORT,d2022_05,19519581592
2686,DE,EXTRA,IMPORT,d2022_05,51576050232
2687,DE,EXTRA,EXPORT,d2022_05,60471178733
2688,DE,INTRA,IMPORT,d2022_05,79484826995
2689,DE,INTRA,EXPORT,d2022_05,75419896498
2690,DE,WORLD,IMPORT,d2022_05,131060877227
2691,DE,WORLD,EXPORT,d2022_05,135891075231
2692,DK,EXTRA,IMPORT,d2022_05,3433516691
2693,DK,EXTRA,EXPORT,d2022_05,4704299970
2694,DK,INTRA,IMPORT,d2022_05,7055509388
