p_k,country_id,ext_int,imp_exp,year,trade_value
317,SE,INTRA,EXPORT,d2021,86078254972
318,SE,WORLD,IMPORT,d2021,158369102838
319,SE,WORLD,EXPORT,d2021,160337063716
320,SI,EXTRA,IMPORT,d2021,21454718973
321,SI,EXTRA,EXPORT,d2021,15678878764
322,SI,INTRA,IMPORT,d2021,27326557282
323,SI,INTRA,EXPORT,d2021,32865489772
324,SI,WORLD,IMPORT,d2021,48781276255
325,SI,WORLD,EXPORT,d2021,48544368536
326,SK,EXTRA,IMPORT,d2021,19130596904
327,SK,EXTRA,EXPORT,d2021,17122766284
328,SK,INTRA,IMPORT,d2021,68774094535
329,SK,INTRA,EXPORT,d2021,70745344246
330,SK,WORLD,IMPORT,d2021,87904691439
331,SK,WORLD,EXPORT,d2021,87868110530
332,AT,EXTRA,IMPORT,d2022,55362828000
333,AT,EXTRA,EXPORT,d2022,61138102869
334,AT,INTRA,IMPORT,d2022,166628971755
335,AT,INTRA,EXPORT,d2022,140260295499
336,AT,WORLD,IMPORT,d2022,221991799755
337,AT,WORLD,EXPORT,d2022,201398398368
338,BE,EXTRA,IMPORT,d2022,246287875432
339,BE,EXTRA,EXPORT,d2022,193461879465
340,BE,INTRA,IMPORT,d2022,346625808824
341,BE,INTRA,EXPORT,d2022,410664159092
342,BE,WORLD,IMPORT,d2022,592913684256
343,BE,WORLD,EXPORT,d2022,604126038557
344,BG,EXTRA,IMPORT,d2022,24637208162
345,BG,EXTRA,EXPORT,d2022,16421168739
346,BG,INTRA,IMPORT,d2022,30626660688
347,BG,INTRA,EXPORT,d2022,31383790941
348,BG,WORLD,IMPORT,d2022,55263868850
349,BG,WORLD,EXPORT,d2022,47804959680
350,CY,EXTRA,IMPORT,d2022,4563986346
351,CY,EXTRA,EXPORT,d2022,3051167986
352,CY,INTRA,IMPORT,d2022,6866412408
353,CY,INTRA,EXPORT,d2022,1083973681
354,CY,WORLD,IMPORT,d2022,11430398754
355,CY,WORLD,EXPORT,d2022,4135141667
356,CZ,EXTRA,IMPORT,d2022,62982565110
357,CZ,EXTRA,EXPORT,d2022,42416149297
358,CZ,INTRA,IMPORT,d2022,162202355980
359,CZ,INTRA,EXPORT,d2022,187826539020
360,CZ,WORLD,IMPORT,d2022,225184921090
361,CZ,WORLD,EXPORT,d2022,230242688317
362,DE,EXTRA,IMPORT,d2022,586323138643
363,DE,EXTRA,EXPORT,d2022,714593025257
364,DE,INTRA,IMPORT,d2022,907905706223
365,DE,INTRA,EXPORT,d2022,861433881783
366,DE,WORLD,IMPORT,d2022,1494228844866
367,DE,WORLD,EXPORT,d2022,1576026907040
368,DK,EXTRA,IMPORT,d2022,40713189526
369,DK,EXTRA,EXPORT,d2022,54656548781
370,DK,INTRA,IMPORT,d2022,80590185406
371,DK,INTRA,EXPORT,d2022,68349718141
372,DK,WORLD,IMPORT,d2022,121303374932
373,DK,WORLD,EXPORT,d2022,123006266922
374,EE,EXTRA,IMPORT,d2022,5541870056
375,EE,EXTRA,EXPORT,d2022,6465489680
376,EE,INTRA,IMPORT,d2022,19391217694
377,EE,INTRA,EXPORT,d2022,14834884510
378,EE,WORLD,IMPORT,d2022,24933087750
379,EE,WORLD,EXPORT,d2022,21300374190
380,ES,EXTRA,IMPORT,d2022,232771281322
381,ES,EXTRA,EXPORT,d2022,145315292716
382,ES,INTRA,IMPORT,d2022,236239482019
383,ES,INTRA,EXPORT,d2022,252336996636
384,ES,WORLD,IMPORT,d2022,469010763341
385,ES,WORLD,EXPORT,d2022,397652289352
386,EU,EXTRA,IMPORT,d2022,3003574169425
387,EU,EXTRA,EXPORT,d2022,2571925378941
388,EU,INTRA,IMPORT,d2022,4103003786342
389,EU,INTRA,EXPORT,d2022,4230452214161
390,FI,EXTRA,IMPORT,d2022,31499614512
391,FI,EXTRA,EXPORT,d2022,35791264548
392,FI,INTRA,IMPORT,d2022,60969763314
393,FI,INTRA,EXPORT,d2022,46093403347
394,FI,WORLD,IMPORT,d2022,92469377826
395,FI,WORLD,EXPORT,d2022,81884667895
396,FR,EXTRA,IMPORT,d2022,300479211557
397,FR,EXTRA,EXPORT,d2022,259056817163
398,FR,INTRA,IMPORT,d2022,477613622163
399,FR,INTRA,EXPORT,d2022,328128039522
400,FR,WORLD,IMPORT,d2022,778092833720
401,FR,WORLD,EXPORT,d2022,587184856685
402,GR,EXTRA,IMPORT,d2022,53244993529
403,GR,EXTRA,EXPORT,d2022,24542137345
404,GR,INTRA,IMPORT,d2022,39803345091
405,GR,INTRA,EXPORT,d2022,30134240579
406,GR,WORLD,IMPORT,d2022,93048338620
407,GR,WORLD,EXPORT,d2022,54676377924
408,HR,EXTRA,IMPORT,d2022,12929682358
409,HR,EXTRA,EXPORT,d2022,7692374543
410,HR,INTRA,IMPORT,d2022,29570782799
411,HR,INTRA,EXPORT,d2022,16591874477
412,HR,WORLD,IMPORT,d2022,42500465157
413,HR,WORLD,EXPORT,d2022,24284249020
414,HU,EXTRA,IMPORT,d2022,49678981879
415,HU,EXTRA,EXPORT,d2022,31281111367
416,HU,INTRA,IMPORT,d2022,106696307534
417,HU,INTRA,EXPORT,d2022,112803223725
418,HU,WORLD,IMPORT,d2022,156375289413
419,HU,WORLD,EXPORT,d2022,144084335092
420,IE,EXTRA,IMPORT,d2022,90797119259
421,IE,EXTRA,EXPORT,d2022,122677722511
422,IE,INTRA,IMPORT,d2022,48261005383
423,IE,INTRA,EXPORT,d2022,80353775362
424,IE,WORLD,IMPORT,d2022,139058124642
425,IE,WORLD,EXPORT,d2022,203031497873
426,IT,EXTRA,IMPORT,d2022,321439631814
427,IT,EXTRA,EXPORT,d2022,295791591971
428,IT,INTRA,IMPORT,d2022,333988966918
429,IT,INTRA,EXPORT,d2022,328918543324
430,IT,WORLD,IMPORT,d2022,655428598732
431,IT,WORLD,EXPORT,d2022,624710135295
432,LT,EXTRA,IMPORT,d2022,19298547632
433,LT,EXTRA,EXPORT,d2022,16736266295
434,LT,INTRA,IMPORT,d2022,33243779322
435,LT,INTRA,EXPORT,d2022,27576373726
436,LT,WORLD,IMPORT,d2022,52542326954
437,LT,WORLD,EXPORT,d2022,44312640021
438,LU,EXTRA,IMPORT,d2022,2523985786
439,LU,EXTRA,EXPORT,d2022,3177661022
440,LU,INTRA,IMPORT,d2022,22662483585
441,LU,INTRA,EXPORT,d2022,13227553648
442,LU,WORLD,IMPORT,d2022,25186469371
443,LU,WORLD,EXPORT,d2022,16405214670
444,LV,EXTRA,IMPORT,d2022,6163249786
445,LV,EXTRA,EXPORT,d2022,7913951672
446,LV,INTRA,IMPORT,d2022,21958144020
447,LV,INTRA,EXPORT,d2022,15068227730
448,LV,WORLD,IMPORT,d2022,28121393806
449,LV,WORLD,EXPORT,d2022,22982179402
450,MT,EXTRA,IMPORT,d2022,3379382444
451,MT,EXTRA,EXPORT,d2022,1619257021
452,MT,INTRA,IMPORT,d2022,4753422781
453,MT,INTRA,EXPORT,d2022,1482377724
454,MT,WORLD,IMPORT,d2022,8132805225
455,MT,WORLD,EXPORT,d2022,3101634745
456,NL,EXTRA,IMPORT,d2022,524599085304
457,NL,EXTRA,EXPORT,d2022,264392141625
458,NL,INTRA,IMPORT,d2022,331168507410
459,NL,INTRA,EXPORT,d2022,655580300587
460,NL,WORLD,IMPORT,d2022,855767592714
461,NL,WORLD,EXPORT,d2022,919972442212
462,PL,EXTRA,IMPORT,d2022,131126411119
463,PL,EXTRA,EXPORT,d2022,83907103433
464,PL,INTRA,IMPORT,d2022,231414515291
465,PL,INTRA,EXPORT,d2022,258986764362
466,PL,WORLD,IMPORT,d2022,362540926410
467,PL,WORLD,EXPORT,d2022,342893867795
468,PT,EXTRA,IMPORT,d2022,33395034939
469,PT,EXTRA,EXPORT,d2022,23111744407
470,PT,INTRA,IMPORT,d2022,76090754415
471,PT,INTRA,EXPORT,d2022,55290955906
472,PT,WORLD,IMPORT,d2022,109485789354
473,PT,WORLD,EXPORT,d2022,78402700313
474,RO,EXTRA,IMPORT,d2022,36768640756
475,RO,EXTRA,EXPORT,d2022,25463963113
476,RO,INTRA,IMPORT,d2022,89331505801
477,RO,INTRA,EXPORT,d2022,66452828783
478,RO,WORLD,IMPORT,d2022,126100146557
479,RO,WORLD,EXPORT,d2022,91916791896
480,SE,EXTRA,IMPORT,d2022,70346601939
481,SE,EXTRA,EXPORT,d2022,86441433094
482,SE,INTRA,IMPORT,d2022,121877503264
483,SE,INTRA,EXPORT,d2022,101514780041
484,SE,WORLD,IMPORT,d2022,192224105203
485,SE,WORLD,EXPORT,d2022,187956213135
486,SI,EXTRA,IMPORT,d2022,31943319680
487,SI,EXTRA,EXPORT,d2022,24638580575
488,SI,INTRA,IMPORT,d2022,34412298180
489,SI,INTRA,EXPORT,d2022,41772068516
490,SI,WORLD,IMPORT,d2022,66355617860
491,SI,WORLD,EXPORT,d2022,66410649091
492,SK,EXTRA,IMPORT,d2022,24776732535
493,SK,EXTRA,EXPORT,d2022,20171432446
494,SK,INTRA,IMPORT,d2022,82110278074
495,SK,INTRA,EXPORT,d2022,82302643499
496,SK,WORLD,IMPORT,d2022,106887010609
497,SK,WORLD,EXPORT,d2022,102474075945
